"jobTitle","company","location","link","jobDescription"
"Junior/ Senior Data Scientist- Bangalore (3-5 Years Experience)","Cloud Byte "," Multiple ","https://jobsnew.analyticsvidhya.com/jobs/junior-senior-data-scientist-bangalore-3-5-years-experience/","aws, hadoop, hive, pig, python, sql, statistical modeling, statistics"
"Data Scientist - Bangalore (4-8 Years Of Experience)","Analytics Vidhya "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-bangalore-4-8-years-of-experience/","c++, hadoop, hive, java, linux, python, r, spark, sql, statistics, tableau, tensor flow, Theano"
"Data Scientist-Bangalore (6-8 Years of Experience )","Analytics Vidhya "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-bangalore-6-8-years-of-experience/","classification, data science, datavisualization, forecasting, hadoop, modeling, python, qlikview, r, sas, segmentation, sql, statistical modeling, tableau, text mining"
"Sr. Consultant - Data Scientist-Bengaluru (9-14 Years of Experience)","Analytics Vidhya "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/sr-consultant-data-scientist-bengaluru-9-14-years-of-experience/","artificial intelligence, aws, deep learning, machine learning, Scala, spark, storm, tensor flow, text mining"
"Senior Data Scientist- Bangalore (4-5 Years Of Experience)","Analytics Vidhya "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/senior-data-scientist-bangalore-4-5-years-of-experience/","analytics, python, r"
"Data Scientist- Bangalore (3+ years of experience)","Playment "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-bangalore-3-years-of-experience/","Computer Vision, deep learning, machine learning, python, r, statistical techniques, tensor flow"
"Junior/Senior Data Scientist (1-4 yrs)","Analytics Vidhya "," Mumbai ","https://jobsnew.analyticsvidhya.com/jobs/juniorsenior-data-scientist-1-4-yrs/","cloud, data mining, Hive, machine learning, Pig, Python, R, regression"
"Data Scientist – Delhi NCR (4+ years of experience)","Analytics Vidhya "," Gurugram ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-delhi-ncr-4-years-of-experience/","classification, clustering, machine learning, optimization, predictive modeling, statistical modeling"
"Junior Data Scientist- Mumbai (0-2 Years of Experience)","Analytics Vidhya "," Mumbai ","https://jobsnew.analyticsvidhya.com/jobs/junior-data-scientist-mumbai-0-2-years-of-experience/","deep learning, hadoop, linear regression, naive bayes, regression"
"Data Scientist - Advanced Analytics- Bangalore (4-8 Years Of Experience)","Analytics Vidhya "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-advanced-analytics-bangalore-4-8-years-of-experience/","hive, logistic regression, python, qlikview, r, regression, sql, teradata"
